X,filing_date,trade_date,ticker,company,insider,title,trade_type,price,qty,Owned,ΔOwn,value,1d,1w,1m,6m,entry_date,entry_price,ret_1w,ret_1m,ret_3m,ret_6m
,2025-05-07 19:10:25,2025-05-06,WSC,Willscot Holdings Corp,Soultz Bradley Lee,CEO,P - Purchase,26.79,10000.0,734418,+1%,267900.0,,,,,2025-05-08,27.079271355360788,0.07530010579501911,0.03169840787714229,-0.1119881156641831,-0.28493371782034327
DM,2025-05-07 18:06:20,2025-05-06,PEB,Pebblebrook Hotel Trust,Bortz Jon E,"COB, CEO",P - Purchase,8.95,57000.0,1742110,+3%,510030.0,,,,,2025-05-08,9.197425968075954,0.08992429193065932,0.058504993714554754,0.020519158187541242,0.13103252222221018
,2025-05-07 17:28:26,2025-05-05,HTLD,Heartland Express Inc,Gerdin Michael J,"CEO, 10%",P - Purchase,7.85,148272.0,31953890,0%,1164217.0,,,,,2025-05-08,7.800450884420663,0.16137234599013017,0.11689958142795875,-0.023154373597502387,-0.02848828361022626
D,2025-05-07 16:05:15,2025-05-05,NKGN,"Nkgen Biotech, Inc.",Song Paul Y.,CEO,P - Purchase,0.13,20849725.0,21020846,>999%,2650000.0,,,,,2025-05-08,0.14100000262260437,1.326241155738268,1.4113474982430367,-0.007092212822396138,-0.8581560341775563
,2025-05-07 16:04:39,2025-05-05,HUN,Huntsman Corp,Huntsman Peter R,"COB, Pres , CEO",P - Purchase,11.74,42000.0,7488555,+1%,492954.0,,,,,2025-05-08,10.911712456786638,0.06351944207423554,-0.0017166765802616446,-0.17039134145275492,-0.33401730743589464
M,2025-05-07 09:02:26,2025-05-05,GCI,"Gannett Co., Inc.",Reed Michael,CEO,P - Purchase,3.24,33000.0,3140722,+1%,106950.0,,,,,2025-05-08,,,,,
,2025-05-06 16:10:17,2025-05-05,BNL,"Broadstone Net Lease, Inc.",Moragne John David,CEO,P - Purchase,16.13,10000.0,449791,+2%,161300.0,,,,,2025-05-07,15.168162335015337,-0.02651045317235934,-0.0018494210786126342,0.05845222931027361,0.15058594027712968
,2025-05-06 15:21:20,2025-05-02,FCNCA,First Citizens Bancshares Inc /De/,Holding Frank B Jr,"COB, CEO, 10%",P - Purchase,1610.0,450.0,666477,0%,724500.0,,,,,2025-05-07,1789.5991815454936,0.09111721536418171,0.032932022332186506,0.01321693481090258,0.0032757984952844765
,2025-05-06 13:58:08,2025-05-05,OGN,Organon & Co.,Ali Kevin,CEO,P - Purchase,8.81,34000.0,282731,+14%,299370.0,,,,,2025-05-07,9.039191464791205,-0.11832561610001069,0.048359281207295934,-0.0009883892590818455,-0.29886946362612454
,2025-05-06 12:24:18,2025-05-05,WSBK,"Winchester Bancorp, Inc./Md/",Carroll John A,"Pres, CEO",P - Purchase,9.77,25000.0,51000,+96%,244155.0,,,,,2025-05-07,9.699999809265137,-0.030927855323080733,-0.04639173382615025,-0.027835000968913448,-0.0072164635258401555
